ACCELEROMETER DEVICE 1:,,,
OFFSET:,"-64,5",-67,172
GAIN:,"131,5",131,138
OFFSET:,"-63,5","-66,5",172
GAIN:,"131,5","131,5",137
OFFSET:,"-64,5","-66,5","172,5"
GAIN:,"131,5","130,5","137,5"
OFFSET:,"-63,5",-66,173
GAIN:,"131,5",131,138
OFFSET:,-63,-66,172
GAIN:,131,131,138
MEDIANA OFFSET:,"-63,5","-66,5",172
MEDIANA GAIN:,"131,5",131,138
,,,
,,,
ACCELEROMETER DEVICE 2:,,,
OFFSET:,"-0,5",-11,"-5,5"
GAIN:,"127,5",128,"123,5"
OFFSET:,"-0,5",-11,-6
GAIN:,"127,5",128,124
OFFSET:,0,-11,-6
GAIN:,127,128,124
OFFSET:,"-0,5","-10,5","-5,5"
GAIN:,"127,5","127,5","123,5"
OFFSET:,0,-11,"-5,5"
GAIN:,127,128,"123,5"
MEDIANA OFFSET:,"-0,5",-11,"-5,5"
MEDIANA GAIN:,"127,5",128,"123,5"
,,,
,,,
ACCELEROMETER DEVICE 3:,,,
OFFSET:,"-1,5",-1,"3,5"
GAIN:,"130,5",131,"127,5"
OFFSET:,-2,"-1,5",4
GAIN:,130,"131,5",128
OFFSET:,-2,-1,"3,5"
GAIN:,131,132,"127,5"
OFFSET:,"-1,5","-1,5","3,5"
GAIN:,"130,5","131,5","128,5"
OFFSET:,"-1,5","-1,5",4
GAIN:,"130,5","131,5",128
MEDIANA OFFSET:,"-1,5","-1,5","3,5"
MEDIANA GAIN:,"130,5","131,5",128
,,,
,,,
ACCELEROMETER DEVICE 4:,,,
OFFSET:,12,"-13,5","-17,5"
GAIN:,132,"132,5","127,5"
OFFSET:,12,-13,"-17,5"
GAIN:,132,132,"127,5"
OFFSET:,"12,5","-13,5","-18,5"
GAIN:,"132,5","131,5","127,5"
OFFSET:,12,-13,-18
GAIN:,132,132,127
OFFSET:,12,"-13,5",-18
GAIN:,132,"132,5",128
MEDIANA OFFSET:,12,"-13,5",-18
MEDIANA GAIN:,132,132,"127,5"
